variable	EnvSeason	aminoglycoside	bacitracin	beta_lactam	chloramphenicol	ExSepctra	macrolide-lincosamide-streptogramin	multidrug	pipetide_antibiotics	quinolone	rifamycin	sulfonamide	tetracycline
Sum.WTPair03	Air.Sum	0.0380307708970162	0.129642345666975	0.0272175123499513	0.0080334698155606	0.0292932700298312	0.113050215798329	0.322411712953688	0.127176104834953	0.00412631262521186	0.00111293475461886	0.014563072278297	0.0503441424090815
Sum.WTPair04	Air.Sum	0.781568876736916	0.126992215827355	0.272470974134521	0.00824496003849168	0.0517568440528746	0.172479287520316	1.03195917594106	0.101416755604133	0.0854878375376619	0.000703450620719676	0.00992288640141432	0.0444253865649182
Sum.WTPair05	Air.Sum	0.0600278836490886	0.153855761658311	0.0175735571437655	0.0184480520859973	0.0226235252705379	0.124133879908488	0.220083720379713	0.0636515033485351	0.00575128351021344	0.00253698416854945	0.0197030764864944	0.0733243319263574
Sum.WTPair06	Air.Sum	0.0593005679436146	0.145239328332177	0.0179809061396144	0.0143707412693567	0.0225151245994565	0.11346662157873	0.227409440623861	0.0738648196389291	0.00569992094392285	0.00101462344561537	0.0196211965464389	0.0691991651913894
Win.LFair01	Air.Win	0.203157034296429	0.0920319836265784	0.049480974329858	0.0749912250811099	0.0419265443769074	0.138137075949059	0.191512849564189	0.0418094083604595	0.00955052395184981	0.0145001841459735	0.0715225404806477	0.103371507897833
Win.LFair02	Air.Win	0.0751681104032669	0.0724048248701102	0.015766449796557	0.0446428287959782	0.0320548950927828	0.0845607600196791	0.0716603831222166	0.0240957117592938	0.00430140863958935	0.0136219491703027	0.0348305482651197	0.0560347365439853
Win.LFair03	Air.Win	0.112622238444418	0.0669413037640479	0.0238829928741307	0.0477719082751976	0.0530635523739029	0.119036743830989	0.108599844001709	0.051392800600238	0.00895399238116894	0.0304811805298437	0.0498398549926181	0.100935340006888
Win.LFair04	Air.Win	0.0429176923038967	0.0291189741838989	0.0101456078740462	0.0237249101028319	0.0290089657823363	0.0547953827529758	0.0455187477117117	0.0227873961125896	0.00235376227119214	0.0151426423485334	0.0213256558145887	0.0482987946472427
Win.LFair05	Air.Win	0.117779088883769	0.065918969442307	0.0260609096040778	0.0425292226726758	0.0287474637388602	0.0916847089359638	0.110766918849909	0.0386145336328955	0.00319614716278456	0.0213864950228544	0.044022919752027	0.0613295552009272
Win.LFair06	Air.Win	0.0623830076620278	0.0445514209855352	0.0155017028691461	0.0495813386419923	0.0450360837741625	0.0772057471686189	0.0654719849772435	0.0338898964837311	0.0031577356673002	0.0183713371107206	0.037438954559036	0.0620352941743971
Win.LTPair01	Air.Win	0.0727751393041415	0.0352151352870817	0.0168388469671924	0.0280059827254068	0.0279479791278912	0.105232018694486	0.0715636516268363	0.0146329879519817	0.00289100267664945	0.0126306198976503	0.0515053357054421	0.0607745839241954
Win.LTPair02	Air.Win	0.0854570072473598	0.046861329233456	0.0101133969554586	0.0474729465997715	0.0325980709873305	0.0882034217179814	0.0787299335422728	0.0250996344225729	0.00338727191490124	0.0168232073776607	0.046819917181407	0.0689887159907825
Win.LTPair03	Air.Win	0.0855634513846308	0.043437719535204	0.0134301935998418	0.0464153816397599	0.0380092165540613	0.103301884833787	0.0766919324395758	0.0343702229659044	0.00291427317839613	0.0210645182743634	0.0453385198131645	0.0849687112378504
Win.LTPair04	Air.Win	0.0242471198185277	0.0161529754292652	0.00472580624669159	0.0168522660754335	0.0193075099907472	0.0415134789428027	0.0267326157413952	0.0138848536341812	0.000931463535052693	0.0100190028479164	0.0150994125323818	0.0234202381432267
Win.LTPair05	Air.Win	0.0653126458447378	0.0367064178116517	0.01681338554346	0.0250117897659979	0.0229316632744509	0.0737001498824522	0.0724816224196101	0.0225285456936963	0.00142538428543966	0.0217349061417014	0.0455020436653481	0.0503911910697897
Win.LTPair06	Air.Win	0.0602112291258243	0.0526646481711448	0.0122400942217097	0.0424448195429628	0.0403306624736476	0.0733892736385156	0.0834108599278814	0.035204246557693	0.00475569143122683	0.0197396586881714	0.036557280204432	0.0571073575190024
Win.OBair01	Air.Win	0.0705168281686215	0.176897940087288	0.0214795881124305	0.00952229895127548	0.015766710160089	0.105818720898817	0.2524595567152	0.0691462031251257	0.00445682823021153	0.00424731185770015	0.0258212886089167	0.0582621167863126
Win.OBair02	Air.Win	0.17143901258371	0.117802765988087	0.0346892793172188	0.0492246026808127	0.0445081619093552	0.125470514803865	0.176656083231579	0.0417635282170581	0.00802998433659926	0.0266831096276607	0.0639162063873721	0.0769566204822684
Win.OBair03	Air.Win	0.162187951163465	0.108554350669197	0.0353822855056724	0.0531482304414327	0.0719053705943779	0.127371315606858	0.157690596735473	0.0626961819742462	0.00956350543858885	0.0376721032072528	0.0496499922506287	0.0974437560713602
Win.OBair04	Air.Win	0.251346894239784	0.104117228908474	0.0513162885729954	0.0622739232026952	0.0431488743856304	0.122241603203965	0.243844517300581	0.0398885922309715	0.00461390958816881	0.0227693513553462	0.187751103073832	0.0783053250028233
Win.OBair05	Air.Win	0.231993345355526	0.0739576374631935	0.0470541566414356	0.046756509380734	0.0381080192016443	0.099769058369019	0.136020320891036	0.0395618812460097	0.00342398608005106	0.0693661195479364	0.127230279992182	0.0785718054355086
Win.OBair06	Air.Win	0.0862821879294277	0.080535048948087	0.0325364093923464	0.0315992344925329	0.0459844361227583	0.0990275094894614	0.102336320343864	0.0349879780965302	0.00553193536900933	0.0275398542744839	0.0395733472423095	0.0562178726531603
Win.TSwLTPcj	Swab.Win	0.0237276214956764	0.0156922829924228	0.103182043552679	0.00785211487746143	0.0349744968021592	0.41278356200277	0.197644454096662	0.0228242481158823	0.00159749941588594	0.00130001194468115	0.00895594242324218	0.168562459286993
Win.TSwLTPjyc	Swab.Win	0.0335926110516455	0.0175028626507817	0.059035120158866	0.0217450963364681	0.0662936413046658	0.630628459270194	0.541709593864752	0.0161989192046789	0.00135961794740973	0.00156877632453181	0.017141885002071	0.167547884746235
Win.TSwLTPlm	Swab.Win	0.449623491983177	0.132838181049126	0.0454614822725308	0.172417591886053	0.0429146566879578	0.446773404669898	0.553753591395882	0.0876984119774025	0.0252381179070898	0.0390280096747077	0.196840037841001	0.167447468067317
Win.TSwLTPlsh	Swab.Win	0.00933484997838273	0.0133661064250348	0.132159970356315	0.0025074829083817	0.04002231353355	0.391436734040688	0.199508103795194	0.0205903771456564	0.000530274914289155	0.000796798368611098	0.00445034128024186	0.289143313765621
Win.TSwLTPsth	Swab.Win	0.0420040124500813	0.0171414899894585	0.114437808774224	0.0126861777667895	0.0180862836528593	0.515180623589186	0.173590558987551	0.0220440171850603	0.00123805292308791	0.00369172832043003	0.010686628239221	0.242716456478043
Win.TSwLTPsyt	Swab.Win	0.0919857263174234	0.0324426396506878	0.0466240363766673	0.0425644948539271	0.0715641182779024	0.552107485384272	0.499231801115008	0.0220687920673221	0.00673899475274037	0.0159778308492639	0.0439755289339055	0.233796250693029
Win.TSwLTPwsk	Swab.Win	0.00837511136963862	0.0252562253441489	0.0612603759100411	0.00207137060894156	0.0568033073798183	0.485795629452428	0.309546626465112	0.0117143849217414	0.000183606193406335	0.000261265909163928	0.0025045168212532	0.161923579208735
Win.TSwLTPwwc	Swab.Win	0.0424381214543242	0.0211468530375319	0.0200336496467837	0.0166897398668848	0.0252875532048443	0.35021721145408	0.184971209952588	0.0192232346607755	0.00314286915128078	0.0040623698849463	0.0144548052206287	0.133342378250136
Win.TSwLTPzjy	Swab.Win	0.026692618566112	0.0186523331746559	0.119486740442112	0.0117509604744859	0.0324665506910561	0.554266008350712	0.291017573154357	0.026242896571363	0.00217410832562697	0.00302427809877594	0.0155981830074819	0.285859240836287
Win.TSwLTPzy	Swab.Win	0.00224928923733875	0.0087417479006071	0.117582850552692	0.000340207815253163	0.0347523889459048	0.502912967028823	0.21165143671422	0.0199415730207819	9.20001812351492e-05	0.000528292960363673	3.3926419631244e-05	0.226386719818183
Win.TSwWTPcdc	Swab.Win	0.0137076529350242	0.00936201618185259	0.106175408542724	0.00810718362259502	0.0436971808417078	0.730360576540158	0.329087666656131	0.0154882284937374	0.000637034007843986	0.000750399736572217	0.00531427306528935	0.226646500715747
Win.TSwWTPdfg	Swab.Win	0.107312006612753	0.0203200798229746	0.0812721762110992	0.00598843381760712	0.0347097266851823	0.550682416762517	0.28212733415584	0.0161882676481479	0.000519264305011745	0.000870914066521422	0.00369023778846348	0.182906876548169
Win.TSwWTPdzl	Swab.Win	0.0489313365572736	0.021670663091601	0.0721292772823029	0.0239450057157023	0.0269140101747941	0.548440767382942	0.339239373269479	0.0189011023669415	0.00163301054104397	0.00157965996936588	0.00822385946710354	0.264148411914008
Win.TSwWTPlgd	Swab.Win	0.0206649944784628	0.0140807928090065	0.0727496297253502	0.0071297180152193	0.0718203174221431	0.613598187256765	0.413094455910161	0.0132752470443349	0.00075069337673645	0.00203444678067483	0.0100993393327972	0.154905752099908
Win.TSwWTPshp	Swab.Win	0.0631250226415927	0.0116262141531956	0.126617425296031	0.0105562213812211	0.0304182475534904	0.978555139942915	0.174154510506464	0.0214903299823455	0.00112542588713508	0.00163985322230654	0.00840496497854229	0.319312548361994
Win.TSwWTPzyl	Swab.Win	0.020689027345306	0.00968679554737388	0.0986919537145724	0.00387108003125668	0.0610337293942763	0.884798849941865	0.338120104813449	0.00949143258038348	0.000581499466335299	0.00408271585816928	0.0034415169137846	0.273232283453545
Win.WTPair01	Air.Win	0.294742007034006	0.133516708899555	0.103227459871308	0.0530628754995814	0.039948817462225	0.167995947839827	0.267994127760903	0.0389175550514434	0.00619122334071252	0.015383255259412	0.179233587345295	0.0869464080303713
Win.WTPair02	Air.Win	0.0473913610742082	0.127949045542312	0.017627255330097	0.00966828995865458	0.0177390363879151	0.0965752460654846	0.244449894015804	0.0799041833613634	0.00302445570158559	0.00347131461251004	0.0228735117090167	0.0640231132713957
Win.WTPair03	Air.Win	0.0852985127460854	0.129832287731966	0.0229697389735503	0.0295821634438157	0.0217153944650175	0.116693120477438	0.250635303156465	0.0837474223341858	0.00417849966326002	0.0104228522391798	0.038369960668004	0.130587887969527
Win.WTPair04	Air.Win	0.060911224891042	0.119884266933161	0.0196363869876045	0.0209837500878021	0.0175713384733021	0.125493589322479	0.216974710610725	0.0649662787630078	0.00463877478597183	0.00907822692982413	0.0234377959175053	0.0651439946636999
Win.WTPair05	Air.Win	0.127664435077335	0.107461501792825	0.0274906393266279	0.0218510400076959	0.0199267251655852	0.100125323587909	0.183939259058245	0.0528150611267458	0.00371520494946893	0.0197292481059877	0.0466041575094395	0.0795975270021225
